,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Finlay Bellerby,P735386704,Current,Oper,Operations & Production & Manufacturing
,,,Mr Jamie Bottomley,P671179165,Current,Oper,Operations & Production & Manufacturing
,,,Mr Callum Bradshaw,P606492826,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ross Cowling,P382186424,Current,Oper,Operations & Production & Manufacturing
,,,Mr Tom Craig,P701494337,Current,Oper,Operations & Production & Manufacturing
,,,Ms Hayley James,P701494405,Current,Oper,Operations & Production & Manufacturing
,,,Mr Aftab Khalidahmad,P694364474,Current,Oper,Operations & Production & Manufacturing
,,,Mr Mares Mcqueen,P671179193,Current,Oper,Operations & Production & Manufacturing
,,,Mr Stuart Pawley,P671179195,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ross Phillips,P735386671,Current,Oper,Operations & Production & Manufacturing
,,,Mr Stuart Tennant,P690561481,Current,Oper,Operations & Production & Manufacturing
,,,Mr Mike Tew,P694364475,Current,Oper,Operations & Production & Manufacturing
,,,Ms Penny Smith,P238622494,Current,Proc,Purchasing & Procurement
,,,Mr Gordon D'lyma,P671179178,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Javed Khalid,P701494404,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Javed Khalid,P701494404,Current,OthDep,Other or unspecified department
,,,Mr Jason Lycett,P726121852,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Nigel Sharpin,P726121854,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr David Northall,P503253699,Current,Health,Health & Safety
,,,Mr David Northall,P503253699,Current,OthDep,Other or unspecified department
,,,Ms Samantha Buckton,P725707123,Current,OthDep,Other or unspecified department
,,,Mr Paul Eric Jonathon Burton,P062161115,Current,OthDep,Other or unspecified department
,,,Mr Dave Clark,P694364473,Current,OthDep,Other or unspecified department
,,,Ms Shelley Dalton,P445983458,Current,OthDep,Other or unspecified department
,,,Ms Julia Dearn,P725707132,Current,OthDep,Other or unspecified department
,,,Mr Anthony Harper,P694364476,Current,OthDep,Other or unspecified department
,,,Ms Natalie Herbert,P690561478,Current,OthDep,Other or unspecified department
,,,Mr Artur Kwiecien,P694364468,Current,OthDep,Other or unspecified department
,,,Mr Anthony Mallott,P694364464,Current,OthDep,Other or unspecified department
,,,Ms Pinky Morgan,P694364477,Current,OthDep,Other or unspecified department
,,,Mr Ross Niner,P726134009,Current,OthDep,Other or unspecified department
,,,Mr Ian Pritchard,P725707122,Current,OthDep,Other or unspecified department
,,,Mr Peter Sullivan,P694364469,Current,OthDep,Other or unspecified department
,,,Mr Mark Tierney,P694364456,Current,OthDep,Other or unspecified department
,,,Mr Adrian White,P694364457,Current,OthDep,Other or unspecified department
241.,JIN SHAN 22 IRELAND COMPANY LIMITED,IE605701,Ms Caroline Mary Lucy Devlin,P007265530,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Roisin Dixon,P041839631,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Ling Li,P308212610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lu Zhendong,P385396897,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
242.,RED TAIL 2 LIMITED,IE576029,Ms Suzanne Finlay,P412561961,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Eugene James O'Reilly,P041850516,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Darren O'Toole,P432627415,Current,"BoD,SenMan",Board of Directors; Senior management
,,,INTERTRUST MANAGEMENT IRELAND LIMITED,CVA0ACKNYF,Current,SenMan,Senior management
243.,OHB SWEDEN AB,SE5568124449,Dr. Lutz Bertling,P019067660,Current,BoD,Board of Directors
,,,Dr. Lutz Bertling,P019067660,Current,Proxy,Proxyholders
,,,Ms Maria Caderas de Kerleau,P437923900,Current,BoD,Board of Directors
,,,Mr Marco Romed Fuchs,P185838036,Current,BoD,Board of Directors
,,,Mr Marco Romed Fuchs,P185838036,Current,Proxy,Proxyholders
,,,Mr Bo Christer Johanson,P705195638,Current,BoD,Board of Directors
,,,Mr Bo Christer Johanson,P705195638,Current,Proxy,Proxyholders
,,,Mr Guy Jean Perez,P323553752,Current,BoD,Board of Directors
,,,Mr Guy Jean Perez,P323553752,Current,Proxy,Proxyholders
,,,Mr Oliver Salisch,P047012063,Current,BoD,Board of Directors
,,,Mr Oliver Salisch,P047012063,Current,Proxy,Proxyholders
,,,Mr Benoit Francois Bernard Mathieu,P678448648,Current,Proxy,Proxyholders
,,,Mr Benoit Francois Bernard Mathieu,P678448648,Current,SenMan,Senior management
,,,Mr Fredrik Bengt Olov Sjoeberg,P678448647,Current,Proxy,Proxyholders
,,,Mr Fredrik Bengt Olov Sjoeberg,P678448647,Current,SenMan,Senior management
244.,SN AUVERGNE AERONAUTIQUE,FR824245104,SA FIGEAC AERO,C003387512,Current,BoD,Board of Directors
245.,SKY HIGH XCVIII LEASING COMPANY LIMITED,IE629677,Mr Kai Sun,P648603517,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhidong (David) Wang,P301107823,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Xuelin (Liam) Yu,P300615923,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
246.,AEROMETALLIC COMPONENTS SA,ESA01460476,AERNNOVA AEROSPACE SA,C041258011,Current,BoD,Board of Directors
,,,AERNNOVA AEROSPACE SA,C041258011,Current,SenMan,Senior management
,,,Mr Gonzalo Furundarena Larrinaga,P146117648,Current,SenMan,Senior management
,,,Ms Gemma Ortiz De Barron,P435596108,Current,FinAcc,Finance & Accounting
,,,Ms Amaya Martinez De Cestafe,P464528132,Current,HR,Human Resources (HR)
,,,Mr Luis Alvarez Villanueva,P234413887,Current,Proc,Purchasing & Procurement
247.,K2 AIRCRAFT FINANCE LIMITED,IE613783,Jarlath Canning,P109469411,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Julian Dunphy,P066091664,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Kate Macken,P438649726,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
248.,LACROIX LUCAERO,FR719802548,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
249.,PDQ AIRSPARES LIMITED,GB02526963,Mr Gregory Alan Hann,P626100736,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Gregory Alan Hann,P626100736,Current,OthDep,Other or unspecified department
,,,Mr Nicholas Douglas Lewis,P041696000,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Scott Michael Tucker,P438479905,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Scott Michael Tucker,P438479905,Current,SenMan,Senior management
,,,OAKWOOD CORPORATE SECRETARY LIMITED,C074610583,Current,SenMan,Senior management
,,,Ms Tatjana Borecka,P735709876,Current,Sales,Sales & Retail
,,,Mr Will Sansom,P735709877,Current,Oper,Operations & Production & Manufacturing
,,,Mr Colin Middleton,P606650515,Current,Proc,Purchasing & Procurement
,,,Mr Jack Peters,P646429938,Current,Proc,Purchasing & Procurement
,,,Ms Angela Chapman,P725933149,Current,OthDep,Other or unspecified department
,,,Connor Coppard,P725933147,Current,OthDep,Other or unspecified department
,,,Mr Robert Kuceba,P407136032,Current,OthDep,Other or unspecified department
,,,Mr Charlie Moss,P690397298,Current,OthDep,Other or unspecified department
250.,SKY HIGH XCVII LEASING COMPANY LIMITED,IE629676,Mr Kai Sun,P648603517,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhidong (David) Wang,P301107823,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Xuelin (Liam) Yu,P300615923,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
251.,TIMET,GBML4246466,Mr David Wilson,P430146556,Current,SenMan,Senior management
252.,"EMBRAER PORTUGAL - ESTRUTURAS EM COMPOSITOS, S.A.",PT508612926,Mr Ricardo Chocarro Melgosa,P104974835,Current,BoD,Board of Directors
,,,Mr Martin Ricardo Moro,P014390964,Current,BoD,Board of Directors
,,,Mr Hipolito Suarez Gutierrez,P349116333,Current,BoD,Board of Directors
,,,Mr Rui Jorge Dos Anjos Duarte,P298945577,Current,OthDep,Other or unspecified department
,,,Mr Carlos Jose Figueiredo Rodrigues,P102177846,Current,OthDep,Other or unspecified department
253.,RED TAIL 1 LIMITED,IE576028,Ms Suzanne Finlay,P412561961,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Eugene James O'Reilly,P041850516,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Darren O'Toole,P432627415,Current,"BoD,SenMan",Board of Directors; Senior management
,,,INTERTRUST MANAGEMENT IRELAND LIMITED,CVA0ACKNYF,Current,SenMan,Senior management
254.,KID-SYSTEME GMBH,DE2150863663,Mr Fokke Mentjes,P428246016,Current,SenMan,Senior management
,,,Mr Stefan Stolzki,P681768120,Current,SenMan,Senior management
,,,Mr Tietze,P727543198,Current,Proc,Purchasing & Procurement
255.,FALCON AEROSPACE LIMITED,IE908610,PAFS IRELAND LIMITED,C035521607,Current,"BoD,SenMan",Board of Directors; Senior management
256.,FLABEL CORPORATION,BE0465127074,Mr Marc Jacques Gabriel Debois,P044182695,Current,BoD,Board of Directors
,,,Ms Nathalie Rogister,P215846787,Current,BoD,Board of Directors
,,,Mr Christian Emile Boas,P019948965,Current,BoD,Board of Directors
,,,Mr Thibault Carrier,P664373641,Current,BoD,Board of Directors
,,,Mr Diederik Lambermont,P420874447,Current,BoD,Board of Directors
,,,Mr Marcel Albert Camille Clement Ghislain Devresse,P044325747,Current,SenMan,Senior management
257.,FIBERTECNIC SA,ESA01034958,AERNNOVA COMPOSITES SA,CVA0480740,Current,BoD,Board of Directors
,,,AERNNOVA COMPOSITES SA,CVA0480740,Current,SenMan,Senior management
,,,Mr Alberto Lopez Desubijana,P690161758,Current,SenMan,Senior management
,,,Mr Alberto Lopez Desubijana,P690161758,Current,Sales,Sales & Retail
,,,Mr Ricardo Chocarro Melgosa,P104974835,Current,OthDep,Other or unspecified department
,,,Mr Juan Ignacio Lopez Gandasegui,P002180529,Current,SpecPos,Other specific positions
258.,SOCIETE ETUDES CONSTRUCTIONS AERONAVALES,FR542065271,Mr Frederic Saizy,P105521920,Current,BoD,Board of Directors
,,,Mr Jean-Michel Phai,P340992942,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Ms Frederique Nouttel,P664236468,Current,HR,Human Resources (HR)
,,,Ms Jessica Diricout,P664236467,Current,HR,Human Resources (HR)
,,,Mr Jose Ferreira,P453973132,Current,R&D,Research & Development / Engineering
,,,Ms Laure Duquerroy,P649178827,Current,Oper,Operations & Production & Manufacturing
,,,Mr Gilles Merle,P088114083,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
259.,REXIAA,FR337589113,Mr Philippe Moniot,P138873837,Current,BoD,Board of Directors
,,,Mr Kevin Freitas,P674967331,Current,SenMan,Senior management
,,,Mr Jacques Moniot,P002957691,Current,SenMan,Senior management
,,,Ms Nadege Duchet,P111295111,Current,FinAcc,Finance & Accounting
,,,Ms Sylvie Delorme,P075987775,Current,HR,Human Resources (HR)
,,,Ms Sylvie Delorme,P075987775,Current,OthDep,Other or unspecified department
,,,Mr Xavier Giner,P503456273,Current,Sales,Sales & Retail
,,,Mr Laurent Papon,P238401459,Current,R&D,Research & Development / Engineering
,,,Mr Eric Bononi,P180275300,Current,Oper,Operations & Production & Manufacturing
,,,Ms Sophie Votta,P435742023,Current,Oper,Operations & Production & Manufacturing
,,,Mr Lionel Deluzarche,P435742024,Current,Qual,Quality Assurance
,,,Ms Sabine Tanton,P238401460,Current,Proc,Purchasing & Procurement
,,,Mr Maxence Joendel,P503464167,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
260.,BMT AEROSPACE INTERNATIONAL,BE0479164459,BERUNOSA,C418244691,Current,BoD,Board of Directors
,,,Chocosonify,CVA0ABPBLZ,Current,BoD,Board of Directors
,,,Mr Johan Octaaf Rene de Lille,P044373467,Current,BoD,Board of Directors
,,,J.PEAS,CVA9319939,Current,BoD,Board of Directors
261.,"SOFITEC AERO, SOCIEDAD LIMITADA.",ESB91531814,ACCURACY CAPITAL SL,C410392037,Current,BoD,Board of Directors
,,,ACCURACY CAPITAL SL,C410392037,Current,SenMan,Senior management
,,,RADIX CORP SOCIEDAD LIMITADA,C294482447,Current,BoD,Board of Directors
,,,Mr Gonzalo Campillo Arrabal,P042291255,Current,SenMan,Senior management
,,,Mr Jose Miguel Hernandez Granado,P042291254,Current,SenMan,Senior management
,,,Mr Manuel Perez Suarez,P365573783,Current,FinAcc,Finance & Accounting
,,,Mr Jesus Ruano,P464509335,Current,HR,Human Resources (HR)
,,,Mr Victor Hess,P158197469,Current,Sales,Sales & Retail
,,,Mr Victor Hess,P158197469,Current,OthDep,Other or unspecified department
,,,Mr Victor Hess,P158197469,Current,OthDep,Other or unspecified department
,,,Mr Victor Hess,P158197469,Current,OthDep,Other or unspecified department
,,,Mr Victor Hess,P158197469,Current,OthDep,Other or unspecified department
,,,Mr Javier Fernandez,P464509336,Current,Qual,Quality Assurance
,,,Mr Javier Fernandez,P464509336,Current,"Qual,OthDep",Quality Assurance; Other or unspecified department
,,,Mr Antonio Pena,P347452966,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Antonio Pena,P347452966,Current,OthDep,Other or unspecified department
,,,Mr Antonio Barral Rivada,P119121777,Current,OthDep,Other or unspecified department
,,,Mr Antonio Barral Rivada,P119121777,Current,SpecPos,Other specific positions
262.,SENIOR AEROSPACE ERMETO,FR440285401,SENIOR FRANCE SAS,C003876837,Current,BoD,Board of Directors
,,,Mr Xavier Brengues,P133182621,Current,SenMan,Senior management
,,,Mr Louis Marie Liebard,P086507265,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Ms Lucile Theophile,P408690538,Current,HR,Human Resources (HR)
,,,Mr Guillaume Dautricourt,P436283935,Current,R&D,Research & Development / Engineering
,,,Mr Christophe Lenoble,P436283934,Current,R&D,Research & Development / Engineering
,,,Mr Aurelien Trotin,P635380541,Current,R&D,Research & Development / Engineering
,,,Mr Antony Tlessy,P635380540,Current,Oper,Operations & Production & Manufacturing
,,,Mr Eric Mitard,P436283932,Current,Qual,Quality Assurance
,,,Mr Alexis Vaillant,P674795602,Current,Proc,Purchasing & Procurement
,,,Ms Aline Bourelier,P502531499,Current,OthDep,Other or unspecified department
263.,"ACITURRI ASSEMBLY, SOCIEDAD ANONIMA.",ESA41743154,ACITURRI ASSEMBLY SOCIEDAD ANONIMA,C003023243,Current,BoD,Board of Directors
,,,Mr Javier Jimenez Vazquez,P637145963,Current,SenMan,Senior management
,,,ACITURRI AERONAUTICA SL,CVA0157626,Current,SenMan,Senior management
,,,Mr Jesus De La Viuda Martinez,P088570064,Current,FinAcc,Finance & Accounting
,,,Mr Gines Clemente Ortiz,P002325238,Current,OthDep,Other or unspecified department
264.,GOODRICH AEROSPACE UK LIMITED,GB02426119,Mr Matthew Besecker,P733393354,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Howard David English,P010440445,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Howard David English,P010440445,Current,SenMan,Senior management
,,,Mr Scott Barton McMaster,P465172096,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Scott Barton McMaster,P465172096,Current,SenMan,Senior management
,,,Mr Joel Lawrence Miller,P460486640,Current,"BoD,SenMan",Board of Directors; Senior management
,,,EDWIN COE SECRETARIES LIMITED,C009076363,Current,SenMan,Senior management
,,,Mr Stephen Patrick Callan,P010439777,Current,SenMan,Senior management
,,,Mr Derek William Harrison,P094438132,Current,FinAcc,Finance & Accounting
,,,Ms Carol Russell,P355936390,Current,FinAcc,Finance & Accounting
,,,Ms Vivienne McCaughran,P736121985,Current,HR,Human Resources (HR)
,,,Mr Gary Sinclair,P736121984,Current,HR,Human Resources (HR)
,,,Ms Mary Mackin,P736121986,Current,MarkAdv,Marketing & Advertising
,,,Mr Andrew Johnson,P736121983,Current,Proc,Purchasing & Procurement
,,,Mr Robert Kelly Ortberg,P014168817,Current,OthDep,Other or unspecified department
265.,HORIZON III AVIATION 1 LIMITED,IE658286,Mr Christopher Cullen,P041594384,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Colm Davis,P041877013,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Michael Lee Kriedberg,P038419777,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
266.,SKY HIGH LXIII LEASING COMPANY LIMITED,IE585113,Mr Kai Sun,P648603517,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhidong (David) Wang,P301107823,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Xuelin (Liam) Yu,P300615923,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
267.,ACITURRI AEROENGINES SL.,ESB09557927,ACITURRI AERONAUTICA SL,CVA0157626,Current,BoD,Board of Directors
,,,ACITURRI AERONAUTICA SL,CVA0157626,Current,SenMan,Senior management
,,,Mr Alvaro Fernandez Baragano,P042240048,Current,SenMan,Senior management
268.,SAFRAN FILTRATION SYSTEMS,FR757502240,Mr Pierre Farrenq,P056123064,Current,BoD,Board of Directors
,,,Ms Helene Deroo,P667842260,Current,SenMan,Senior management
,,,Mr Cedric Brantschen,P503368122,Current,HR,Human Resources (HR)
,,,Ms Helene Tieyre,P667842262,Current,HR,Human Resources (HR)
,,,Ms Alice Picat,P667842261,Current,HR,Human Resources (HR)
,,,Mr Alain Akoum,P503368124,Current,Sales,Sales & Retail
,,,Mr Benjamin Gilg,P081268385,Current,Proc,Purchasing & Procurement
,,,Mr Mathieu Alindre,P245244029,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Jerome Martin,P503368123,Current,OthDep,Other or unspecified department
269.,"AERNNOVA AEROESTRUCTURAS ALAVA, S.A.",ESA01142207,AERNNOVA AEROSPACE SA,C041258011,Current,BoD,Board of Directors
,,,AERNNOVA AEROSPACE SA,C041258011,Current,SenMan,Senior management
,,,Mr Daniel Penalva Lopez,P002624401,Current,SenMan,Senior management
,,,Inaqui Lopez Gandastegui,P245406157,Current,SenMan,Senior management
,,,Mr Eduardo Del Campo Gonzalez,P042164887,Current,FinAcc,Finance & Accounting
,,,Mr Ander Luzuriaga Alvarez De Larcaya,P707300637,Current,FinAcc,Finance & Accounting
,,,Mr Alejandro Arrasate Fradua,P042210430,Current,HR,Human Resources (HR)
,,,Mr Mario Jimenez,P063981479,Current,HR,Human Resources (HR)
,,,Mr Luis Perez Oliva,P042164888,Current,Sales,Sales & Retail
,,,Mr Alex Otaegui Cabanas,P042203707,Current,MarkAdv,Marketing & Advertising
,,,Mr Inigo Diaz De Guerenu,P707300638,Current,Oper,Operations & Production & Manufacturing
,,,Mr Xavier Mendoza Garcia,P042164890,Current,Oper,Operations & Production & Manufacturing
,,,Mr Michel Fuentes Larranaga,P229631516,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Ricardo Chocarro Melgosa,P104974835,Current,OthDep,Other or unspecified department
270.,SASOF IV AVIATION IRELAND DESIGNATED ACTIVITY COMPANY,IE607647,Mr William Davis Hoffman,P071927300,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Marcus Miller,P098732233,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Stephen Hugh O'Donnell,P041867412,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
271.,START IRELAND LEASING 6 LIMITED,IE627292,Mr Colin Hayes,P007169755,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Matthew John McMahon,P041679763,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Elihu Fowler Robertson,P438219129,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,CVA0ADRBFI,Current,SenMan,Senior management
272.,MEYER TOOL POLAND SP. Z O.O.,PL300366128,Mr Douglas Lang,P418036745,Current,ExeB,Executive Board
,,,Mr Michal Sekowski,P385527482,Current,ExeB,Executive Board
,,,Mr Slawomir Andrzej Zdyb,P247104140,Current,ExeB,Executive Board
,,,Mr Michal Rafal Sekowski,P632735376,Current,LegDep,Legal/Compliance/Risk department
273.,COMPONENTES AERONAUTICOS COASA SA,ESA32257123,AERNNOVA COMPOSITES SA,CVA0480740,Current,BoD,Board of Directors
,,,AERNNOVA COMPOSITES SA,CVA0480740,Current,SenMan,Senior management
,,,Ms Marisol Campos Rodriguez,P088612038,Current,FinAcc,Finance & Accounting
,,,Ms Patricia Salgado Lopez,P109285210,Current,HR,Human Resources (HR)
,,,Mr Lorenzo Jorge Arias,P718397026,Current,R&D,Research & Development / Engineering
,,,Mr Ricardo Escolano Sanchez,P637147796,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ricardo Escolano Sanchez,P637147796,Current,OthDep,Other or unspecified department
,,,Mr Manuel Aparicio Rodriguez,P464538651,Current,Qual,Quality Assurance
,,,Mr Manuel Aparicio Rodriguez,P464538651,Current,"Qual,OthDep",Quality Assurance; Other or unspecified department
,,,Mr Jesus Bande Cid,P161246252,Current,Proc,Purchasing & Procurement
274.,ACRO AIRCRAFT SEATING LIMITED,GB05859680,Mr Neil Cairns,P668395648,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Neil Cairns,P668395648,Current,SenMan,Senior management
,,,Mr Yun Chen,P418326126,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Yun Chen,P418326126,Current,SenMan,Senior management
,,,Mr Paul Antony Strothers,P238547129,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Michael Alan Caines,P674127621,Current,SenMan,Senior management
,,,Mr Michael Alan Caines,P674127621,Current,FinAcc,Finance & Accounting
,,,Sheetal Razdan,P726132698,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Ms Lisa Brooker,P726132421,Current,FinAcc,Finance & Accounting
,,,Ms Debra Hawkins,P726132666,Current,FinAcc,Finance & Accounting
,,,Mr Karl Ottaway,P726132660,Current,FinAcc,Finance & Accounting
,,,Mr David Williams,P701621620,Current,AdmDep,Administration department
,,,Ms Ana Galarzaott,P701621702,Current,HR,Human Resources (HR)
,,,Mr Tony Keogh,P736435441,Current,HR,Human Resources (HR)
,,,Ms Sue Robinson,P736435475,Current,HR,Human Resources (HR)
,,,Laurajayne Gadd,P726132418,Current,Sales,Sales & Retail
,,,Mr Jerome Lawler,P463819204,Current,Sales,Sales & Retail
,,,Mr Shouxia Liu,P726132415,Current,Sales,Sales & Retail
,,,Ms Paula Liu,P736435459,Current,Sales,Sales & Retail
,,,Mr Sachin Patel,P736435445,Current,Sales,Sales & Retail
,,,Ms Michelle Shaffer,P736435457,Current,Sales,Sales & Retail
,,,Ms Sara Wilson,P736435472,Current,Sales,Sales & Retail
,,,Ms Chuang Zhang,P701621626,Current,Sales,Sales & Retail
,,,Ms Allie Chen,P736435477,Current,MarkAdv,Marketing & Advertising
,,,Mr Adam Challenor,P646601301,Current,R&D,Research & Development / Engineering
,,,Mr Andy Jones,P736435440,Current,R&D,Research & Development / Engineering
,,,Mr Daniel Ariyanayagam,P701621713,Current,R&D,Research & Development / Engineering
,,,Mr Robert Ballantyne,P701621622,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr David Bull,P701621718,Current,R&D,Research & Development / Engineering
,,,Mr Stephen Bull,P701621619,Current,R&D,Research & Development / Engineering
,,,Mr James Clark,P736435446,Current,R&D,Research & Development / Engineering
,,,Mr Colin Corbett,P726132697,Current,R&D,Research & Development / Engineering
,,,Mr Adam Dsouza,P670751449,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Richard Dunn,P736435454,Current,R&D,Research & Development / Engineering
,,,Mr Mark Dunster,P670751450,Current,R&D,Research & Development / Engineering
,,,Mo Foroughi,P463819200,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Dan Glover,P701621714,Current,R&D,Research & Development / Engineering
,,,Riddhi Karambelkar,P736435469,Current,R&D,Research & Development / Engineering
,,,Mr Muhammad Mimeche,P670751414,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr John O'neill,P701621623,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Rishi Patel,P674136162,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Mark Portlock,P726132420,Current,R&D,Research & Development / Engineering
,,,Mr Massimiliano Salvini,P726132412,Current,R&D,Research & Development / Engineering
,,,Newson Shrestha,P736435460,Current,R&D,Research & Development / Engineering
,,,Mr Steve Vinton,P701558986,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr David Yatesjohn,P701621705,Current,R&D,Research & Development / Engineering
,,,Mr Andrey Yurikov,P694896103,Current,R&D,Research & Development / Engineering
,,,Mr Steve Ball,P726132410,Current,Oper,Operations & Production & Manufacturing
,,,Mr Giuliano Errico,P701621711,Current,Oper,Operations & Production & Manufacturing
,,,Mr Marc Graham,P463819186,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ben Hilder,P503282039,Current,Oper,Operations & Production & Manufacturing
,,,Ms Georgiana Jiganie,P736435444,Current,Oper,Operations & Production & Manufacturing
,,,Srgio Neto,P736435476,Current,Oper,Operations & Production & Manufacturing
,,,Mr Vladislav Stoilkov,P736435456,Current,Oper,Operations & Production & Manufacturing
,,,Ms Beata Szyszka,P670750869,Current,Oper,Operations & Production & Manufacturing
,,,Mr Paul Wilby,P435802192,Current,Proc,Purchasing & Procurement
,,,Mr Damian Savage,P701621710,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Yusuf Cakmak,P687829062,Current,OthDep,Other or unspecified department
,,,Mr Neil Howell,P726132670,Current,OthDep,Other or unspecified department
,,,Mr Ruslans Kerimovs,P701621709,Current,OthDep,Other or unspecified department
,,,Mr Chris Latham,P670751451,Current,OthDep,Other or unspecified department
,,,Mr Craig Maidens,P736435443,Current,OthDep,Other or unspecified department
,,,Mr Steve Martin,P726132411,Current,OthDep,Other or unspecified department
,,,Ms Charlotte Mckenzie,P726132419,Current,OthDep,Other or unspecified department
,,,Ms Carla Mckirdy,P736435458,Current,OthDep,Other or unspecified department
,,,Mr Marc Westcott,P736435452,Current,OthDep,Other or unspecified department
,,,Mr Oliver Zhao,P736435453,Current,OthDep,Other or unspecified department
,,,Mr Alex Hillman,P736435474,Current,OthDep,Other or unspecified department
,,,Mr Jon Waters,P726132416,Current,OthDep,Other or unspecified department
275.,SIMAIR,FR316883180,BT2I,CVA0AAQRTR,Current,BoD,Board of Directors
,,,Mr Nicolas Leze,P515696139,Current,Sales,Sales & Retail
,,,Mr Julien Patrouillault,P515696140,Current,Oper,Operations & Production & Manufacturing
,,,Mr Emmanuel Hartenberger,P650876374,Current,Qual,Quality Assurance
,,,Ms Sarah De Bonneville,P297440312,Current,Proc,Purchasing & Procurement
276.,SICAMB - S.P.A.,IT02073250595,Mr Marco Klinger,P007306937,Current,BoD,Board of Directors
